server_id,datid,relid,s_from,s_to,t_from,t_to,dt_sec,relname,schemaname,d_total,d_delay,d_blk_read_t,d_blk_write_t,d_blks_read,d_blks_hit,d_blks_dirty,d_blks_written,d_wal_records,d_wal_fpi,d_wal_bytes,d_tuples_deleted,d_pages_scanned,d_pages_removed,d_recent_dead,d_tuples_frozen,d_vm_visible,d_vm_frozen,d_vm_visible_frozen,d_idx_passes,d_failsafe,d_missed_pages,d_missed_tuples
1,26479,1249,2,3,2026-04-26 01:47:55+03,2026-04-26 01:47:56+03,1.000000,pg_attribute,pg_catalog,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,26479,1259,2,3,2026-04-26 01:47:55+03,2026-04-26 01:47:56+03,1.000000,pg_class,pg_catalog,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,26479,2608,2,3,2026-04-26 01:47:55+03,2026-04-26 01:47:56+03,1.000000,pg_depend,pg_catalog,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,26479,28045,2,3,2026-04-26 01:47:55+03,2026-04-26 01:47:56+03,1.000000,pgbench_accounts,public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,26479,28049,2,3,2026-04-26 01:47:55+03,2026-04-26 01:47:56+03,1.000000,pgbench_branches,public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,26479,28038,2,3,2026-04-26 01:47:55+03,2026-04-26 01:47:56+03,1.000000,pgbench_history,public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,26479,28041,2,3,2026-04-26 01:47:55+03,2026-04-26 01:47:56+03,1.000000,pgbench_tellers,public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,26479,27779,4,5,2026-04-26 01:48:42+03,2026-04-26 01:48:42+03,0.000000,last_stat_indexes_srv1,public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,26479,1249,3,4,2026-04-26 01:47:56+03,2026-04-26 01:48:42+03,46.000000,pg_attribute,pg_catalog,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,26479,1249,4,5,2026-04-26 01:48:42+03,2026-04-26 01:48:42+03,0.000000,pg_attribute,pg_catalog,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,26479,1259,4,5,2026-04-26 01:48:42+03,2026-04-26 01:48:42+03,0.000000,pg_class,pg_catalog,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,26479,1259,3,4,2026-04-26 01:47:56+03,2026-04-26 01:48:42+03,46.000000,pg_class,pg_catalog,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,26479,2608,3,4,2026-04-26 01:47:56+03,2026-04-26 01:48:42+03,46.000000,pg_depend,pg_catalog,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,26479,2608,4,5,2026-04-26 01:48:42+03,2026-04-26 01:48:42+03,0.000000,pg_depend,pg_catalog,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,26479,28045,3,4,2026-04-26 01:47:56+03,2026-04-26 01:48:42+03,46.000000,pgbench_accounts,public,33.16300000000001,0,0,0,0,5020,0,0,3090,0,207173,2297,1853,0,0,0,1853,0,0,1,0,0,0
1,26479,28045,4,5,2026-04-26 01:48:42+03,2026-04-26 01:48:42+03,0.000000,pgbench_accounts,public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
