server_id,datid,relid,s_from,s_to,t_from,t_to,dt_sec,relname,schemaname,d_total,d_delay,d_blk_read_t,d_blk_write_t,d_blks_read,d_blks_hit,d_blks_dirty,d_blks_written,d_wal_records,d_wal_fpi,d_wal_bytes,d_tuples_deleted,d_pages_scanned,d_pages_removed,d_recent_dead,d_tuples_frozen,d_vm_visible,d_vm_frozen,d_vm_visible_frozen,d_idx_passes,d_failsafe,d_missed_pages,d_missed_tuples,d_idx_tuples_deleted,d_idx_pages_deleted,d_idx_blks_dirty,d_idx_blks_read,d_idx_blks_hit,d_idx_wal_records,d_idx_wal_bytes,d_idx_total_time,d_idx_failsafe,n_indexes,phase,mode
1,28343,31279,142,143,2026-04-26 11:26:08+03,2026-04-26 11:26:26+03,18.000000,evs_window,public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,B-middle,broken
1,28343,31358,142,143,2026-04-26 11:26:08+03,2026-04-26 11:26:26+03,18.000000,evs_window_with_indexes,public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,B-middle,broken
1,28343,31285,142,143,2026-04-26 11:26:08+03,2026-04-26 11:26:26+03,18.000000,evs_workload_profile,public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,B-middle,broken
1,26479,27126,142,143,2026-04-26 11:26:08+03,2026-04-26 11:26:26+03,18.000000,indexes_list,public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,broken
1,28343,29388,142,143,2026-04-26 11:26:08+03,2026-04-26 11:26:26+03,18.000000,last_extension_versions,public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,B-middle,broken
1,28343,29697,142,143,2026-04-26 11:26:08+03,2026-04-26 11:26:26+03,18.000000,last_stat_activity_count_srv1,public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,broken
1,28343,29643,142,143,2026-04-26 11:26:08+03,2026-04-26 11:26:26+03,18.000000,last_stat_indexes_srv1,public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,B-middle,broken
1,26479,27779,142,143,2026-04-26 11:26:08+03,2026-04-26 11:26:26+03,18.000000,last_stat_indexes_srv1,public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,B-middle,broken
1,28343,28778,142,143,2026-04-26 11:26:08+03,2026-04-26 11:26:26+03,18.000000,last_stat_io,public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,B-middle,broken
1,26479,26914,142,143,2026-04-26 11:26:08+03,2026-04-26 11:26:26+03,18.000000,last_stat_io,public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,broken
1,26479,27701,142,143,2026-04-26 11:26:08+03,2026-04-26 11:26:26+03,18.000000,last_stat_statements_srv1,public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,B-middle,broken
1,28343,29565,142,143,2026-04-26 11:26:08+03,2026-04-26 11:26:26+03,18.000000,last_stat_statements_srv1,public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,B-middle,broken
1,26479,27761,142,143,2026-04-26 11:26:08+03,2026-04-26 11:26:26+03,18.000000,last_stat_tables_srv1,public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,B-middle,broken
1,28343,29625,142,143,2026-04-26 11:26:08+03,2026-04-26 11:26:26+03,18.000000,last_stat_tables_srv1,public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,B-middle,broken
1,28343,1249,142,143,2026-04-26 11:26:08+03,2026-04-26 11:26:26+03,18.000000,pg_attribute,pg_catalog,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,B-middle,broken
1,26479,1249,142,143,2026-04-26 11:26:08+03,2026-04-26 11:26:26+03,18.000000,pg_attribute,pg_catalog,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,B-middle,broken
1,26479,1259,142,143,2026-04-26 11:26:08+03,2026-04-26 11:26:26+03,18.000000,pg_class,pg_catalog,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,B-middle,broken
1,28343,2608,142,143,2026-04-26 11:26:08+03,2026-04-26 11:26:26+03,18.000000,pg_depend,pg_catalog,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,B-middle,broken
1,26479,2608,142,143,2026-04-26 11:26:08+03,2026-04-26 11:26:26+03,18.000000,pg_depend,pg_catalog,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,B-middle,broken
1,28343,2619,142,143,2026-04-26 11:26:08+03,2026-04-26 11:26:26+03,18.000000,pg_statistic,pg_catalog,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,B-middle,broken
1,26479,2619,142,143,2026-04-26 11:26:08+03,2026-04-26 11:26:26+03,18.000000,pg_statistic,pg_catalog,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,B-middle,broken
1,26479,28045,142,143,2026-04-26 11:26:08+03,2026-04-26 11:26:26+03,18.000000,pgbench_accounts,public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,B-middle,broken
1,28343,29909,142,143,2026-04-26 11:26:08+03,2026-04-26 11:26:26+03,18.000000,pgbench_accounts,public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,B-middle,broken
1,26479,28049,142,143,2026-04-26 11:26:08+03,2026-04-26 11:26:26+03,18.000000,pgbench_branches,public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,broken
1,28343,29913,142,143,2026-04-26 11:26:08+03,2026-04-26 11:26:26+03,18.000000,pgbench_branches,public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,broken
1,26479,28038,142,143,2026-04-26 11:26:08+03,2026-04-26 11:26:26+03,18.000000,pgbench_history,public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,broken
1,28343,29902,142,143,2026-04-26 11:26:08+03,2026-04-26 11:26:26+03,18.000000,pgbench_history,public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,broken
1,28343,29905,142,143,2026-04-26 11:26:08+03,2026-04-26 11:26:26+03,18.000000,pgbench_tellers,public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,broken
1,26479,28041,142,143,2026-04-26 11:26:08+03,2026-04-26 11:26:26+03,18.000000,pgbench_tellers,public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,broken
1,26479,27149,142,143,2026-04-26 11:26:08+03,2026-04-26 11:26:26+03,18.000000,sample_stat_indexes,public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,B-middle,broken
1,28343,29013,142,143,2026-04-26 11:26:08+03,2026-04-26 11:26:26+03,18.000000,sample_stat_indexes,public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,B-middle,broken
1,26479,27063,142,143,2026-04-26 11:26:08+03,2026-04-26 11:26:26+03,18.000000,sample_stat_tables,public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,B-middle,broken
1,28343,28927,142,143,2026-04-26 11:26:08+03,2026-04-26 11:26:26+03,18.000000,sample_stat_tables,public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,B-middle,broken
1,28343,28969,142,143,2026-04-26 11:26:08+03,2026-04-26 11:26:26+03,18.000000,sample_stat_tables_total,public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,B-middle,broken
1,28343,29489,142,143,2026-04-26 11:26:08+03,2026-04-26 11:26:26+03,18.000000,sample_stat_vacuum_indexes,public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,B-middle,broken
1,28343,29467,142,143,2026-04-26 11:26:08+03,2026-04-26 11:26:26+03,18.000000,sample_stat_vacuum_tables,public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,B-middle,broken
1,28343,29092,142,143,2026-04-26 11:26:08+03,2026-04-26 11:26:26+03,18.000000,sample_statements,public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,B-middle,broken
1,26479,27046,142,143,2026-04-26 11:26:08+03,2026-04-26 11:26:26+03,18.000000,tables_list,public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,B-middle,broken
1,28343,31343,143,144,2026-04-26 11:26:26+03,2026-04-26 11:26:42+03,16.000000,evs_delete_index_window_labeled,public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,broken
1,28343,31338,143,144,2026-04-26 11:26:26+03,2026-04-26 11:26:42+03,16.000000,evs_delete_window_labeled,public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,broken
1,28343,31352,143,144,2026-04-26 11:26:26+03,2026-04-26 11:26:42+03,16.000000,evs_index_window,public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,B-middle,broken
1,28343,31279,143,144,2026-04-26 11:26:26+03,2026-04-26 11:26:42+03,16.000000,evs_window,public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,B-middle,broken
1,28343,31358,143,144,2026-04-26 11:26:26+03,2026-04-26 11:26:42+03,16.000000,evs_window_with_indexes,public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,B-middle,broken
1,28343,31285,143,144,2026-04-26 11:26:26+03,2026-04-26 11:26:42+03,16.000000,evs_workload_profile,public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,B-middle,broken
1,26479,27126,143,144,2026-04-26 11:26:26+03,2026-04-26 11:26:42+03,16.000000,indexes_list,public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,broken
1,28343,28990,143,144,2026-04-26 11:26:26+03,2026-04-26 11:26:42+03,16.000000,indexes_list,public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,B-middle,broken
1,28343,29388,143,144,2026-04-26 11:26:26+03,2026-04-26 11:26:42+03,16.000000,last_extension_versions,public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,B-middle,broken
1,28343,29697,143,144,2026-04-26 11:26:26+03,2026-04-26 11:26:42+03,16.000000,last_stat_activity_count_srv1,public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,broken
1,26479,27779,143,144,2026-04-26 11:26:26+03,2026-04-26 11:26:42+03,16.000000,last_stat_indexes_srv1,public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,B-middle,broken
1,28343,29643,143,144,2026-04-26 11:26:26+03,2026-04-26 11:26:42+03,16.000000,last_stat_indexes_srv1,public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,B-middle,broken
1,26479,26914,143,144,2026-04-26 11:26:26+03,2026-04-26 11:26:42+03,16.000000,last_stat_io,public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,broken
1,28343,28778,143,144,2026-04-26 11:26:26+03,2026-04-26 11:26:42+03,16.000000,last_stat_io,public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,B-middle,broken
1,26479,27701,143,144,2026-04-26 11:26:26+03,2026-04-26 11:26:42+03,16.000000,last_stat_statements_srv1,public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,B-middle,broken
