server_id,datid,relid,indexrelid,schemaname,relname,indexrelname,s_from,s_to,t_from,t_to,dt_sec,d_blks_read,d_blks_hit,d_blks_dirty,d_blks_written,d_wal_records,d_wal_fpi,d_wal_bytes,d_total,d_delay,d_tuples_deleted,d_pages_deleted,d_failsafe,phase,mode
1,28343,28990,28999,public,indexes_list,pk_indexes_list,185,186,2026-04-26 11:36:52+03,2026-04-26 11:37:08+03,16.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,fixed
1,28343,29388,29397,public,last_extension_versions,pk_last_extension_versions,185,186,2026-04-26 11:36:52+03,2026-04-26 11:37:08+03,16.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,fixed
1,28343,29643,29656,public,last_stat_indexes_srv1,pk_last_stat_indexes_srv1,185,186,2026-04-26 11:36:52+03,2026-04-26 11:37:08+03,16.000000,57,181,9,6,54,0,11260,6.2280000000000655,4.699999999999818,3513,64,0,B-middle,fixed
1,26479,27779,27792,public,last_stat_indexes_srv1,pk_last_stat_indexes_srv1,185,186,2026-04-26 11:36:52+03,2026-04-26 11:37:08+03,16.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,fixed
1,28343,28778,28788,public,last_stat_io,pk_last_stat_io_samples,185,186,2026-04-26 11:36:52+03,2026-04-26 11:37:08+03,16.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,fixed
1,28343,29565,29577,public,last_stat_statements_srv1,pk_last_stat_satements_srv1,185,186,2026-04-26 11:36:52+03,2026-04-26 11:37:08+03,16.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,fixed
1,26479,27701,27713,public,last_stat_statements_srv1,pk_last_stat_satements_srv1,185,186,2026-04-26 11:36:52+03,2026-04-26 11:37:08+03,16.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,fixed
1,28343,29625,29636,public,last_stat_tables_srv1,pk_last_stat_tables_srv1,185,186,2026-04-26 11:36:52+03,2026-04-26 11:37:08+03,16.000000,45,131,6,45,36,0,8074,3.314999999999941,2.0600000000000023,2799,50,0,B-middle,fixed
1,26479,27761,27772,public,last_stat_tables_srv1,pk_last_stat_tables_srv1,185,186,2026-04-26 11:36:52+03,2026-04-26 11:37:08+03,16.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,fixed
1,26479,1249,2658,pg_catalog,pg_attribute,pg_attribute_relid_attnam_index,185,186,2026-04-26 11:36:52+03,2026-04-26 11:37:08+03,16.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,fixed
1,28343,1249,2658,pg_catalog,pg_attribute,pg_attribute_relid_attnam_index,185,186,2026-04-26 11:36:52+03,2026-04-26 11:37:08+03,16.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,fixed
1,26479,1249,2659,pg_catalog,pg_attribute,pg_attribute_relid_attnum_index,185,186,2026-04-26 11:36:52+03,2026-04-26 11:37:08+03,16.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,fixed
1,28343,1249,2659,pg_catalog,pg_attribute,pg_attribute_relid_attnum_index,185,186,2026-04-26 11:36:52+03,2026-04-26 11:37:08+03,16.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,fixed
1,26479,1259,2662,pg_catalog,pg_class,pg_class_oid_index,185,186,2026-04-26 11:36:52+03,2026-04-26 11:37:08+03,16.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,fixed
1,26479,1259,2663,pg_catalog,pg_class,pg_class_relname_nsp_index,185,186,2026-04-26 11:36:52+03,2026-04-26 11:37:08+03,16.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,fixed
1,26479,1259,3455,pg_catalog,pg_class,pg_class_tblspc_relfilenode_index,185,186,2026-04-26 11:36:52+03,2026-04-26 11:37:08+03,16.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,fixed
1,28343,2608,2673,pg_catalog,pg_depend,pg_depend_depender_index,185,186,2026-04-26 11:36:52+03,2026-04-26 11:37:08+03,16.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,fixed
1,26479,2608,2673,pg_catalog,pg_depend,pg_depend_depender_index,185,186,2026-04-26 11:36:52+03,2026-04-26 11:37:08+03,16.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,fixed
1,28343,2608,2674,pg_catalog,pg_depend,pg_depend_reference_index,185,186,2026-04-26 11:36:52+03,2026-04-26 11:37:08+03,16.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,fixed
1,26479,2608,2674,pg_catalog,pg_depend,pg_depend_reference_index,185,186,2026-04-26 11:36:52+03,2026-04-26 11:37:08+03,16.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,fixed
1,26479,2619,2696,pg_catalog,pg_statistic,pg_statistic_relid_att_inh_index,185,186,2026-04-26 11:36:52+03,2026-04-26 11:37:08+03,16.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,fixed
1,28343,2619,2696,pg_catalog,pg_statistic,pg_statistic_relid_att_inh_index,185,186,2026-04-26 11:36:52+03,2026-04-26 11:37:08+03,16.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,fixed
1,28343,2840,2841,pg_toast,pg_toast_2619,pg_toast_2619_index,185,186,2026-04-26 11:36:52+03,2026-04-26 11:37:08+03,16.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,fixed
1,26479,28045,28063,public,pgbench_accounts,pgbench_accounts_pkey,185,186,2026-04-26 11:36:52+03,2026-04-26 11:37:08+03,16.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,fixed
1,28343,29909,29927,public,pgbench_accounts,pgbench_accounts_pkey,185,186,2026-04-26 11:36:52+03,2026-04-26 11:37:08+03,16.000000,0,1,0,0,0,0,0,0.010999999940395355,0,0,0,0,B-middle,fixed
1,26479,27149,27174,public,sample_stat_indexes,ix_sample_stat_indexes_il,185,186,2026-04-26 11:36:52+03,2026-04-26 11:37:08+03,16.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,fixed
1,28343,29013,29038,public,sample_stat_indexes,ix_sample_stat_indexes_il,185,186,2026-04-26 11:36:52+03,2026-04-26 11:37:08+03,16.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,fixed
1,28343,29013,29039,public,sample_stat_indexes,ix_sample_stat_indexes_ts,185,186,2026-04-26 11:36:52+03,2026-04-26 11:37:08+03,16.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,fixed
1,28343,29013,29021,public,sample_stat_indexes,pk_sample_stat_indexes,185,186,2026-04-26 11:36:52+03,2026-04-26 11:37:08+03,16.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,fixed
1,28343,28761,28771,public,sample_stat_io,pk_sample_stat_io,185,186,2026-04-26 11:36:52+03,2026-04-26 11:37:08+03,16.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,fixed
1,28343,28927,28957,public,sample_stat_tables,is_sample_stat_tables_ts,185,186,2026-04-26 11:36:52+03,2026-04-26 11:37:08+03,16.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,fixed
1,28343,28927,28958,public,sample_stat_tables,ix_sample_stat_tables_rel,185,186,2026-04-26 11:36:52+03,2026-04-26 11:37:08+03,16.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,fixed
1,28343,28927,28935,public,sample_stat_tables,pk_sample_stat_tables,185,186,2026-04-26 11:36:52+03,2026-04-26 11:37:08+03,16.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,fixed
1,26479,27063,27071,public,sample_stat_tables,pk_sample_stat_tables,185,186,2026-04-26 11:36:52+03,2026-04-26 11:37:08+03,16.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,fixed
1,28343,28969,28989,public,sample_stat_tables_total,ix_sample_stat_tables_total_ts,185,186,2026-04-26 11:36:52+03,2026-04-26 11:37:08+03,16.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,fixed
1,28343,28969,28977,public,sample_stat_tables_total,pk_sample_stat_tables_tot,185,186,2026-04-26 11:36:52+03,2026-04-26 11:37:08+03,16.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,fixed
1,28343,29489,29510,public,sample_stat_vacuum_indexes,ix_sample_stat_vacuum_indexes_rel,185,186,2026-04-26 11:36:52+03,2026-04-26 11:37:08+03,16.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,fixed
1,28343,29489,29498,public,sample_stat_vacuum_indexes,pk_sample_stat_vacuum_indexes,185,186,2026-04-26 11:36:52+03,2026-04-26 11:37:08+03,16.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,fixed
1,28343,29467,29488,public,sample_stat_vacuum_tables,ix_sample_stat_vacuum_tables_rel,185,186,2026-04-26 11:36:52+03,2026-04-26 11:37:08+03,16.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,fixed
1,28343,29467,29476,public,sample_stat_vacuum_tables,pk_sample_stat_vacuum_tables,185,186,2026-04-26 11:36:52+03,2026-04-26 11:37:08+03,16.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,fixed
1,28343,29092,29120,public,sample_statements,ix_sample_stmts_qid,185,186,2026-04-26 11:36:52+03,2026-04-26 11:37:08+03,16.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,fixed
1,28343,29092,29121,public,sample_statements,ix_sample_stmts_rol,185,186,2026-04-26 11:36:52+03,2026-04-26 11:37:08+03,16.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,fixed
1,28343,29092,29103,public,sample_statements,pk_sample_statements_n,185,186,2026-04-26 11:36:52+03,2026-04-26 11:37:08+03,16.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,fixed
1,28343,29072,29091,public,stmt_list,ix_stmt_list_smp,185,186,2026-04-26 11:36:52+03,2026-04-26 11:37:08+03,16.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,fixed
1,28343,29072,29079,public,stmt_list,pk_stmt_list,185,186,2026-04-26 11:36:52+03,2026-04-26 11:37:08+03,16.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,fixed
1,28343,28910,28926,public,tables_list,ix_tables_list_samples,185,186,2026-04-26 11:36:52+03,2026-04-26 11:37:08+03,16.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,fixed
1,26479,27046,27062,public,tables_list,ix_tables_list_samples,185,186,2026-04-26 11:36:52+03,2026-04-26 11:37:08+03,16.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,fixed
1,28343,28910,28919,public,tables_list,pk_tables_list,185,186,2026-04-26 11:36:52+03,2026-04-26 11:37:08+03,16.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,fixed
1,26479,27046,27055,public,tables_list,pk_tables_list,185,186,2026-04-26 11:36:52+03,2026-04-26 11:37:08+03,16.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,fixed
1,28343,31715,31720,public,evs_index_window,ix_evs_index_window_rel,186,187,2026-04-26 11:37:08+03,2026-04-26 11:37:23+03,15.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,fixed
1,28343,31688,31693,public,evs_window,ix_evs_window_relname,186,187,2026-04-26 11:37:08+03,2026-04-26 11:37:23+03,15.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,fixed
1,28343,31721,31726,public,evs_window_with_indexes,ix_evs_window_with_indexes_rel,186,187,2026-04-26 11:37:08+03,2026-04-26 11:37:23+03,15.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,fixed
1,28343,31694,31699,public,evs_workload_profile,ix_evs_workload_profile_rel,186,187,2026-04-26 11:37:08+03,2026-04-26 11:37:23+03,15.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,fixed
1,28343,28990,29011,public,indexes_list,ix_indexes_list_rel,186,187,2026-04-26 11:37:08+03,2026-04-26 11:37:23+03,15.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,fixed
1,28343,28990,29012,public,indexes_list,ix_indexes_list_smp,186,187,2026-04-26 11:37:08+03,2026-04-26 11:37:23+03,15.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,fixed
1,28343,28990,28999,public,indexes_list,pk_indexes_list,186,187,2026-04-26 11:37:08+03,2026-04-26 11:37:23+03,15.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,fixed
1,28343,29388,29397,public,last_extension_versions,pk_last_extension_versions,186,187,2026-04-26 11:37:08+03,2026-04-26 11:37:23+03,15.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,fixed
1,28343,29643,29656,public,last_stat_indexes_srv1,pk_last_stat_indexes_srv1,186,187,2026-04-26 11:37:08+03,2026-04-26 11:37:23+03,15.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,fixed
1,26479,27779,27792,public,last_stat_indexes_srv1,pk_last_stat_indexes_srv1,186,187,2026-04-26 11:37:08+03,2026-04-26 11:37:23+03,15.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,fixed
1,28343,28778,28788,public,last_stat_io,pk_last_stat_io_samples,186,187,2026-04-26 11:37:08+03,2026-04-26 11:37:23+03,15.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,fixed
1,28343,29565,29577,public,last_stat_statements_srv1,pk_last_stat_satements_srv1,186,187,2026-04-26 11:37:08+03,2026-04-26 11:37:23+03,15.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,fixed
1,26479,27701,27713,public,last_stat_statements_srv1,pk_last_stat_satements_srv1,186,187,2026-04-26 11:37:08+03,2026-04-26 11:37:23+03,15.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,fixed
1,28343,29625,29636,public,last_stat_tables_srv1,pk_last_stat_tables_srv1,186,187,2026-04-26 11:37:08+03,2026-04-26 11:37:23+03,15.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,fixed
1,26479,27761,27772,public,last_stat_tables_srv1,pk_last_stat_tables_srv1,186,187,2026-04-26 11:37:08+03,2026-04-26 11:37:23+03,15.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,fixed
1,26479,1249,2658,pg_catalog,pg_attribute,pg_attribute_relid_attnam_index,186,187,2026-04-26 11:37:08+03,2026-04-26 11:37:23+03,15.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,fixed
1,28343,1249,2658,pg_catalog,pg_attribute,pg_attribute_relid_attnam_index,186,187,2026-04-26 11:37:08+03,2026-04-26 11:37:23+03,15.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,fixed
1,26479,1249,2659,pg_catalog,pg_attribute,pg_attribute_relid_attnum_index,186,187,2026-04-26 11:37:08+03,2026-04-26 11:37:23+03,15.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,fixed
1,28343,1249,2659,pg_catalog,pg_attribute,pg_attribute_relid_attnum_index,186,187,2026-04-26 11:37:08+03,2026-04-26 11:37:23+03,15.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,fixed
1,26479,1259,2662,pg_catalog,pg_class,pg_class_oid_index,186,187,2026-04-26 11:37:08+03,2026-04-26 11:37:23+03,15.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,fixed
1,26479,1259,2663,pg_catalog,pg_class,pg_class_relname_nsp_index,186,187,2026-04-26 11:37:08+03,2026-04-26 11:37:23+03,15.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,fixed
1,26479,1259,3455,pg_catalog,pg_class,pg_class_tblspc_relfilenode_index,186,187,2026-04-26 11:37:08+03,2026-04-26 11:37:23+03,15.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,fixed
1,28343,2608,2673,pg_catalog,pg_depend,pg_depend_depender_index,186,187,2026-04-26 11:37:08+03,2026-04-26 11:37:23+03,15.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,fixed
1,26479,2608,2673,pg_catalog,pg_depend,pg_depend_depender_index,186,187,2026-04-26 11:37:08+03,2026-04-26 11:37:23+03,15.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,fixed
1,28343,2608,2674,pg_catalog,pg_depend,pg_depend_reference_index,186,187,2026-04-26 11:37:08+03,2026-04-26 11:37:23+03,15.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,fixed
1,26479,2608,2674,pg_catalog,pg_depend,pg_depend_reference_index,186,187,2026-04-26 11:37:08+03,2026-04-26 11:37:23+03,15.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,fixed
1,26479,2619,2696,pg_catalog,pg_statistic,pg_statistic_relid_att_inh_index,186,187,2026-04-26 11:37:08+03,2026-04-26 11:37:23+03,15.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,fixed
1,28343,2619,2696,pg_catalog,pg_statistic,pg_statistic_relid_att_inh_index,186,187,2026-04-26 11:37:08+03,2026-04-26 11:37:23+03,15.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,fixed
1,28343,2840,2841,pg_toast,pg_toast_2619,pg_toast_2619_index,186,187,2026-04-26 11:37:08+03,2026-04-26 11:37:23+03,15.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,fixed
1,26479,28045,28063,public,pgbench_accounts,pgbench_accounts_pkey,186,187,2026-04-26 11:37:08+03,2026-04-26 11:37:23+03,15.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,fixed
1,28343,29909,29927,public,pgbench_accounts,pgbench_accounts_pkey,186,187,2026-04-26 11:37:08+03,2026-04-26 11:37:23+03,15.000000,0,1,0,0,0,0,0,0.009000000078231096,0,0,0,0,B-middle,fixed
1,26479,27149,27174,public,sample_stat_indexes,ix_sample_stat_indexes_il,186,187,2026-04-26 11:37:08+03,2026-04-26 11:37:23+03,15.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,fixed
1,28343,29013,29038,public,sample_stat_indexes,ix_sample_stat_indexes_il,186,187,2026-04-26 11:37:08+03,2026-04-26 11:37:23+03,15.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,fixed
1,28343,29013,29039,public,sample_stat_indexes,ix_sample_stat_indexes_ts,186,187,2026-04-26 11:37:08+03,2026-04-26 11:37:23+03,15.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,fixed
1,28343,29013,29021,public,sample_stat_indexes,pk_sample_stat_indexes,186,187,2026-04-26 11:37:08+03,2026-04-26 11:37:23+03,15.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,fixed
1,28343,28761,28771,public,sample_stat_io,pk_sample_stat_io,186,187,2026-04-26 11:37:08+03,2026-04-26 11:37:23+03,15.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,fixed
1,28343,28927,28957,public,sample_stat_tables,is_sample_stat_tables_ts,186,187,2026-04-26 11:37:08+03,2026-04-26 11:37:23+03,15.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,fixed
1,28343,28927,28958,public,sample_stat_tables,ix_sample_stat_tables_rel,186,187,2026-04-26 11:37:08+03,2026-04-26 11:37:23+03,15.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,fixed
1,28343,28927,28935,public,sample_stat_tables,pk_sample_stat_tables,186,187,2026-04-26 11:37:08+03,2026-04-26 11:37:23+03,15.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,fixed
1,26479,27063,27071,public,sample_stat_tables,pk_sample_stat_tables,186,187,2026-04-26 11:37:08+03,2026-04-26 11:37:23+03,15.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,fixed
1,28343,28969,28989,public,sample_stat_tables_total,ix_sample_stat_tables_total_ts,186,187,2026-04-26 11:37:08+03,2026-04-26 11:37:23+03,15.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,fixed
1,28343,28969,28977,public,sample_stat_tables_total,pk_sample_stat_tables_tot,186,187,2026-04-26 11:37:08+03,2026-04-26 11:37:23+03,15.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,fixed
1,28343,29489,29510,public,sample_stat_vacuum_indexes,ix_sample_stat_vacuum_indexes_rel,186,187,2026-04-26 11:37:08+03,2026-04-26 11:37:23+03,15.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,fixed
1,28343,29489,29498,public,sample_stat_vacuum_indexes,pk_sample_stat_vacuum_indexes,186,187,2026-04-26 11:37:08+03,2026-04-26 11:37:23+03,15.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,fixed
1,28343,29467,29488,public,sample_stat_vacuum_tables,ix_sample_stat_vacuum_tables_rel,186,187,2026-04-26 11:37:08+03,2026-04-26 11:37:23+03,15.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,fixed
1,28343,29467,29476,public,sample_stat_vacuum_tables,pk_sample_stat_vacuum_tables,186,187,2026-04-26 11:37:08+03,2026-04-26 11:37:23+03,15.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,fixed
1,28343,29092,29120,public,sample_statements,ix_sample_stmts_qid,186,187,2026-04-26 11:37:08+03,2026-04-26 11:37:23+03,15.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,fixed
1,28343,29092,29121,public,sample_statements,ix_sample_stmts_rol,186,187,2026-04-26 11:37:08+03,2026-04-26 11:37:23+03,15.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,fixed
1,28343,29092,29103,public,sample_statements,pk_sample_statements_n,186,187,2026-04-26 11:37:08+03,2026-04-26 11:37:23+03,15.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,fixed
1,28343,29072,29091,public,stmt_list,ix_stmt_list_smp,186,187,2026-04-26 11:37:08+03,2026-04-26 11:37:23+03,15.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,fixed
1,28343,29072,29079,public,stmt_list,pk_stmt_list,186,187,2026-04-26 11:37:08+03,2026-04-26 11:37:23+03,15.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,fixed
1,28343,28910,28926,public,tables_list,ix_tables_list_samples,186,187,2026-04-26 11:37:08+03,2026-04-26 11:37:23+03,15.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,fixed
1,26479,27046,27062,public,tables_list,ix_tables_list_samples,186,187,2026-04-26 11:37:08+03,2026-04-26 11:37:23+03,15.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,fixed
1,28343,28910,28919,public,tables_list,pk_tables_list,186,187,2026-04-26 11:37:08+03,2026-04-26 11:37:23+03,15.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,fixed
1,26479,27046,27055,public,tables_list,pk_tables_list,186,187,2026-04-26 11:37:08+03,2026-04-26 11:37:23+03,15.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,fixed
1,28343,31715,31720,public,evs_index_window,ix_evs_index_window_rel,187,188,2026-04-26 11:37:23+03,2026-04-26 11:37:39+03,16.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,fixed
1,28343,31688,31693,public,evs_window,ix_evs_window_relname,187,188,2026-04-26 11:37:23+03,2026-04-26 11:37:39+03,16.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,fixed
1,28343,31721,31726,public,evs_window_with_indexes,ix_evs_window_with_indexes_rel,187,188,2026-04-26 11:37:23+03,2026-04-26 11:37:39+03,16.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,fixed
1,28343,31694,31699,public,evs_workload_profile,ix_evs_workload_profile_rel,187,188,2026-04-26 11:37:23+03,2026-04-26 11:37:39+03,16.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,fixed
1,28343,28990,29011,public,indexes_list,ix_indexes_list_rel,187,188,2026-04-26 11:37:23+03,2026-04-26 11:37:39+03,16.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,fixed
1,28343,28990,29012,public,indexes_list,ix_indexes_list_smp,187,188,2026-04-26 11:37:23+03,2026-04-26 11:37:39+03,16.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,fixed
1,28343,28990,28999,public,indexes_list,pk_indexes_list,187,188,2026-04-26 11:37:23+03,2026-04-26 11:37:39+03,16.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,fixed
1,28343,29388,29397,public,last_extension_versions,pk_last_extension_versions,187,188,2026-04-26 11:37:23+03,2026-04-26 11:37:39+03,16.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,fixed
1,28343,29643,29656,public,last_stat_indexes_srv1,pk_last_stat_indexes_srv1,187,188,2026-04-26 11:37:23+03,2026-04-26 11:37:39+03,16.000000,59,180,9,59,53,9,25655,6.253000000000611,4.199999999999818,3524,65,0,B-middle,fixed
1,26479,27779,27792,public,last_stat_indexes_srv1,pk_last_stat_indexes_srv1,187,188,2026-04-26 11:37:23+03,2026-04-26 11:37:39+03,16.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,fixed
1,28343,28778,28788,public,last_stat_io,pk_last_stat_io_samples,187,188,2026-04-26 11:37:23+03,2026-04-26 11:37:39+03,16.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,fixed
1,28343,29565,29577,public,last_stat_statements_srv1,pk_last_stat_satements_srv1,187,188,2026-04-26 11:37:23+03,2026-04-26 11:37:39+03,16.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,fixed
1,26479,27701,27713,public,last_stat_statements_srv1,pk_last_stat_satements_srv1,187,188,2026-04-26 11:37:23+03,2026-04-26 11:37:39+03,16.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,fixed
1,28343,29625,29636,public,last_stat_tables_srv1,pk_last_stat_tables_srv1,187,188,2026-04-26 11:37:23+03,2026-04-26 11:37:39+03,16.000000,46,130,6,0,36,6,18266,3.04099999999994,2.0299999999999727,2794,50,0,B-middle,fixed
1,26479,27761,27772,public,last_stat_tables_srv1,pk_last_stat_tables_srv1,187,188,2026-04-26 11:37:23+03,2026-04-26 11:37:39+03,16.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,fixed
1,26479,1249,2658,pg_catalog,pg_attribute,pg_attribute_relid_attnam_index,187,188,2026-04-26 11:37:23+03,2026-04-26 11:37:39+03,16.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,fixed
1,28343,1249,2658,pg_catalog,pg_attribute,pg_attribute_relid_attnam_index,187,188,2026-04-26 11:37:23+03,2026-04-26 11:37:39+03,16.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,fixed
1,26479,1249,2659,pg_catalog,pg_attribute,pg_attribute_relid_attnum_index,187,188,2026-04-26 11:37:23+03,2026-04-26 11:37:39+03,16.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,fixed
1,28343,1249,2659,pg_catalog,pg_attribute,pg_attribute_relid_attnum_index,187,188,2026-04-26 11:37:23+03,2026-04-26 11:37:39+03,16.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,fixed
1,26479,1259,2662,pg_catalog,pg_class,pg_class_oid_index,187,188,2026-04-26 11:37:23+03,2026-04-26 11:37:39+03,16.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,fixed
1,26479,1259,2663,pg_catalog,pg_class,pg_class_relname_nsp_index,187,188,2026-04-26 11:37:23+03,2026-04-26 11:37:39+03,16.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,fixed
1,26479,1259,3455,pg_catalog,pg_class,pg_class_tblspc_relfilenode_index,187,188,2026-04-26 11:37:23+03,2026-04-26 11:37:39+03,16.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,fixed
